light,timestamp,temp,press
1.000000,2019-02-13T21:12:02.508431,64.040381,99469.910841
1.000000,2019-02-13T21:14:02.913290,63.836046,99470.322448
1.000000,2019-02-13T21:16:02.281070,63.583987,99472.321088
1.000000,2019-02-13T21:18:02.820387,63.435219,99471.100189
1.000000,2019-02-13T21:20:03.194721,63.317325,99469.557911
1.000000,2019-02-13T21:22:02.581294,63.233113,99459.268518
1.000000,2019-02-13T21:24:02.951744,63.175849,99458.304257
1.000000,2019-02-13T21:26:02.314092,63.234798,99455.974926
1.000000,2019-02-13T21:28:02.705544,63.065249,99452.607491
1.000000,2019-02-13T21:30:03.058297,62.908049,99449.567036
1.000000,2019-02-13T21:32:02.442113,62.999563,99451.951591
1.000000,2019-02-13T21:34:02.811770,62.773304,99448.147573
1.000000,2019-02-13T21:36:03.165665,62.664383,99445.518161
1.000000,2019-02-13T21:38:02.548111,62.593078,99439.845123
1.000000,2019-02-13T21:40:02.919098,62.648662,99448.835096
1.000000,2019-02-13T21:42:02.278159,62.606553,99450.052219
1.000000,2019-02-13T21:44:02.659701,62.565005,99450.008726
1.000000,2019-02-13T21:46:03.073475,62.731757,99450.552252
1.000000,2019-02-13T21:48:02.440291,62.677296,99446.545565
1.000000,2019-02-13T21:50:03.422566,62.551530,99445.184804
1.000000,2019-02-13T21:52:02.879440,63.232552,99435.067871
1.000000,2019-02-13T21:54:03.240832,63.008545,99431.125942
1.000000,2019-02-13T21:56:02.610248,62.723335,99430.631438
1.000000,2019-02-13T21:58:02.989669,62.416216,99429.362471
1.000000,2019-02-13T22:00:02.350881,62.379721,99431.840909
1.000000,2019-02-13T22:02:02.729194,62.474609,99424.385010
1.000000,2019-02-13T22:04:03.702504,62.796323,99424.363980
1.000000,2019-02-13T22:06:03.152295,62.908611,99422.036196
1.000000,2019-02-13T22:08:02.527274,62.770496,99415.294550
1.000000,2019-02-13T22:10:02.946918,62.482470,99409.841478
1.000000,2019-02-13T22:12:02.305390,62.453273,99404.583435
